epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,loss,lr,mean_io_u,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_mean_io_u,val_precision,val_sensitivity,val_specificity
0,0.9760297536849976,0.26286277174949646,0.12050822377204895,0.03790915757417679,0.052100833505392075,0.16481217741966248,0.001,0.5319222807884216,0.96697998046875,0.9487834572792053,0.9946720600128174,0.9831919074058533,0.2855924069881439,0.23050130903720856,0.06017018482089043,0.11080764979124069,0.07501516491174698,0.5718554258346558,0.9856976866722107,0.9779017567634583,0.9952089190483093
1,0.9834176301956177,0.279485821723938,0.15877912938594818,0.06373798102140427,0.08472710102796555,0.07376066595315933,0.001,0.5282506346702576,0.9846247434616089,0.9818246364593506,0.9948801398277283,0.9829557538032532,0.2709653973579407,0.09548754245042801,0.04345065727829933,0.07544398307800293,0.07218005508184433,0.42068997025489807,0.9828634262084961,0.9828897714614868,0.9943075180053711
2,0.9834670424461365,0.2843046486377716,0.1687358319759369,0.07543481141328812,0.0943833515048027,0.07015077769756317,0.001,0.5074174404144287,0.98466956615448,0.9820928573608398,0.9948974251747131,0.9829555749893188,0.2798970639705658,0.15401172637939453,0.043821293860673904,0.07030104845762253,0.07109034061431885,0.5388467907905579,0.9828312993049622,0.9828523993492126,0.9942852854728699
3,0.9833337068557739,0.30238741636276245,0.22337877750396729,0.12574179470539093,0.13416332006454468,0.06145796552300453,0.001,0.586901843547821,0.9856959581375122,0.9810503125190735,0.995229959487915,0.9829288721084595,0.3299922049045563,0.3615959882736206,0.18520650267601013,0.1853577047586441,0.06586981564760208,0.6405789852142334,0.9921921491622925,0.9704745411872864,0.9972354769706726
4,0.9845299124717712,0.33195215463638306,0.3129827678203583,0.18382087349891663,0.17341408133506775,0.0540291927754879,0.001,0.6237713694572449,0.9893898963928223,0.9804006218910217,0.9963866472244263,0.9829723238945007,0.2995728552341461,0.22411219775676727,0.13006730377674103,0.11656854301691055,0.0636877715587616,0.459964781999588,0.9840422868728638,0.9827011823654175,0.9947021007537842
5,0.9836484789848328,0.3005724251270294,0.22115078568458557,0.12569566071033478,0.12498468160629272,0.06739570945501328,0.001,0.5157289505004883,0.9865430593490601,0.9807467460632324,0.9954965114593506,0.9835986495018005,0.2964498698711395,0.18830236792564392,0.08592353761196136,0.1011342704296112,0.07348786294460297,0.39545366168022156,0.9867337942123413,0.9803712964057922,0.9955261945724487
6,0.9851003885269165,0.3362289071083069,0.30912455916404724,0.2293224036693573,0.1662122905254364,0.05394567921757698,0.001,0.4291006922721863,0.9890938997268677,0.9811638593673706,0.9962998628616333,0.98527592420578,0.3892350494861603,0.4633341133594513,0.34652987122535706,0.20912957191467285,0.051138900220394135,0.423790842294693,0.9912804365158081,0.9799033403396606,0.9969415664672852
7,0.9869509339332581,0.3847081959247589,0.4174911081790924,0.36872345209121704,0.20953229069709778,0.04353523626923561,0.001,0.4442993402481079,0.9911147952079773,0.9826973080635071,0.9969469308853149,0.9876229763031006,0.4113631844520569,0.45266807079315186,0.4195931553840637,0.26512670516967773,0.04318351671099663,0.4668616056442261,0.9909151196479797,0.9840016961097717,0.9968675374984741
8,0.9875051975250244,0.40915176272392273,0.46205633878707886,0.418688029050827,0.23679929971694946,0.03951723873615265,0.001,0.528788149356842,0.9911945462226868,0.9839182496070862,0.9969906806945801,0.9874159097671509,0.3975452184677124,0.47197723388671875,0.4653836190700531,0.23995046317577362,0.047031085938215256,0.4280589520931244,0.9931501150131226,0.9804560542106628,0.9975481629371643
9,0.988434910774231,0.42841148376464844,0.5074872374534607,0.44492802023887634,0.260003000497818,0.03576359525322914,0.001,0.641859769821167,0.9918988347053528,0.9850502610206604,0.9972249269485474,0.9880393147468567,0.43020427227020264,0.46305418014526367,0.4487460255622864,0.26326531171798706,0.041442617774009705,0.7003039121627808,0.9910121560096741,0.9852150678634644,0.9969178438186646
10,0.9883659482002258,0.42898282408714294,0.5151967406272888,0.42028024792671204,0.27894410490989685,0.03596112132072449,0.001,0.6092133522033691,0.9913493990898132,0.9852266311645508,0.9970472455024719,0.9870166182518005,0.4464346766471863,0.5855379700660706,0.45622754096984863,0.3399592339992523,0.039568766951560974,0.41459864377975464,0.9904943108558655,0.9838533401489258,0.9967672824859619
11,0.9884074330329895,0.43652084469795227,0.5235134959220886,0.4653051495552063,0.27291613817214966,0.03588901832699776,0.001,0.6567472219467163,0.9915015697479248,0.9852364659309387,0.997105598449707,0.9871818423271179,0.40758657455444336,0.41925644874572754,0.38892388343811035,0.2451283037662506,0.04761206731200218,0.7481838464736938,0.9904332756996155,0.9839926958084106,0.9967227578163147
12,0.989630937576294,0.4640696942806244,0.5727502703666687,0.49439749121665955,0.30723559856414795,0.030308328568935394,0.001,0.6220124959945679,0.9921826720237732,0.9867896437644958,0.9973293542861938,0.9881508946418762,0.46688544750213623,0.5182151794433594,0.49485716223716736,0.34610241651535034,0.036260101944208145,0.5462088584899902,0.9910388588905334,0.985529899597168,0.9969492554664612
13,0.9899864196777344,0.47778770327568054,0.5854708552360535,0.5131871700286865,0.3377980589866638,0.029049336910247803,0.001,0.6748488545417786,0.9925312399864197,0.9872016310691833,0.9974446892738342,0.98841392993927,0.4450846016407013,0.5877657532691956,0.3628005087375641,0.26581376791000366,0.03739972412586212,0.6599494814872742,0.9898490905761719,0.9867544174194336,0.996580183506012
14,0.9902378916740417,0.4841381013393402,0.6012440919876099,0.5208603739738464,0.3454599380493164,0.027278218418359756,0.001,0.7657638788223267,0.9927316308021545,0.9875984787940979,0.9975136518478394,0.9892233610153198,0.4903683066368103,0.6467956900596619,0.5748748779296875,0.3342730402946472,0.030910512432456017,0.7455993890762329,0.991577684879303,0.9865519404411316,0.997131884098053
15,0.9908668994903564,0.5052061676979065,0.6263443231582642,0.5550845265388489,0.3878742456436157,0.025566238909959793,0.001,0.7415843605995178,0.9931090474128723,0.9879630208015442,0.9976351857185364,0.9900020360946655,0.5072843432426453,0.6150543689727783,0.5473114252090454,0.38718539476394653,0.03132931515574455,0.7873935699462891,0.9920998811721802,0.9876443147659302,0.9973019957542419
